Model,Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM-Technology,R5ASIA,ZF2060,Capacity Additions|Electricity|Wind,GW/yr,28.22458,129.763345262389,286.14529272828,176.453618361194,116.672272020561,201.086747951715,311.559477202193,281.507892250103,153.972737869421,204.361105812325,309.252643474988,279.13309466658,152.641318660886,204.764854735983,303.210451015321,277.922706540368,153.054304843378
AIM-Technology,R5ASIA,ZF2060,Capacity Additions|Hydrogen|Electricity,GW,0,0,44.7378505655845,157.872019281391,140.475663337849,368.427578060392,861.674982765497,621.896651042563,692.623203570806,678.718040117929,571.552929633619,513.034395450575,665.637281591007,559.805945725248,538.817929786047,681.892564560002,534.13074355931
AIM-Technology,R5ASIA,ZF2070,Capacity Additions|Electricity|Solar|PV,GW/yr,33.21098,229.972558023966,196.822841087295,716.405767996521,442.872349874646,672.815586460083,808.89095153331,1467.31666020477,1270.98277921348,1312.87159618529,1172.65725535859,1381.80392685211,1477.06183538284,1425.30588919919,1289.26798747886,1547.23541566411,1522.52626940124
AIM-Technology,R5ASIA,ZF2070,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,29.8418999133902,149.889176559349,54.6810910295051,187.208611872027,90.8379153476859,186.959960570829,117.689250881619,198.785434257505,189.99708596069,239.991184997653,198.506462078854,253.116005024212,202.325683427715,263.681217639084,215.32425408298
AIM-Technology,R5ASIA,ZF2070,Capacity Additions|Electricity|Wind,GW/yr,28.22458,129.832203400457,286.077958550047,164.942544076028,101.254980328625,197.818081168675,261.154728070872,287.37563369978,175.147588112615,221.009541976616,259.771200221154,291.622904179417,173.624461598526,220.627312699645,259.470092365343,289.086345286929,165.622310570201
AIM-Technology,R5ASIA,ZF2070,Capacity Additions|Hydrogen|Electricity,GW,0,0,44.6894440120234,140.240809828034,117.172751283604,272.346117401479,420.110194358977,551.377594574863,555.797734666119,683.111998689039,625.520460170081,411.256718225325,725.020149863704,604.256013729069,427.352462397841,745.176168536433,555.9283893716
AIM-Technology,R5ASIA,ZF2080,Capacity Additions|Electricity|Solar|PV,GW/yr,33.21098,230.047207324778,196.726088261998,706.767166739344,399.847634173689,651.339510246361,831.812874368411,1181.73311055137,1084.55865954171,1012.35849182066,1391.23277409279,1370.6231772967,1656.85194888014,1079.20865375021,1512.10646189114,1495.3223409766,1757.45188374895
AIM-Technology,R5ASIA,ZF2080,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,29.8400166025091,148.204639159199,55.1740292470051,187.24093458809,96.0363593341218,199.542827246933,110.964853302595,190.819976470162,167.492154947682,221.441895848137,224.826741478181,228.07480243005,213.753403728508,241.290445217119,226.466456723703
AIM-Technology,R5ASIA,ZF2080,Capacity Additions|Electricity|Wind,GW/yr,28.22458,129.608996618444,286.30794430256,159.279366602012,100.699777397705,186.374205979285,276.216207165354,213.296657581698,227.807661665879,215.64702024268,280.705657054664,230.161903610916,228.153254760651,214.210280668432,281.547004694103,226.857533695473,219.892063011112
AIM-Technology,R5ASIA,ZF2080,Capacity Additions|Hydrogen|Electricity,GW,0,0,44.737855900268,142.40997250692,84.2263313456982,276.073189505704,434.091203230701,349.229610913861,520.826680217882,550.820404900668,540.433486152128,511.068716084795,718.590027818756,532.934526822202,535.990865557861,719.063635409201,515.469047442155
