Model,Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM-Technology,World,Opt1.5C,Capacity|Electricity|Biomass,GW,248.877172185669,269.515886985262,261.561680873427,242.367032873427,221.237806799974,165.508659906169,161.708104314371,492.375763211382,606.328432624965,1121.36079505882,1442.43056035083,1442.40834094605,1455.95100997603,1435.74147246397,1443.13847843899,1358.27639858342,1344.77931216873
AIM-Technology,World,Opt1.5C,Capacity|Electricity|Biomass|w/ CCS,GW,0,0,0,0,0,0,0,346.526209651008,494.291199239328,1035.13203970952,1358.05826988969,1362.25251289656,1392.25287914039,1408.07030466512,1424.40602706671,1343.16771720226,1334.0995256796
AIM-Technology,World,Opt1.5C,Capacity|Electricity|Biomass|w/o CCS,GW,248.877172185669,269.515886985262,261.561680873427,242.367032873427,221.237806799974,165.508659906169,161.708104314371,145.849553560374,112.037233385637,86.2287553493053,84.3722904611404,80.1558280494827,63.6981308356396,27.6711677988458,18.7324513722807,15.1086813811608,10.6797864891311
AIM-Technology,World,Opt1.5C,Capacity|Electricity|Coal,GW,2227.36636664325,2337.00542664325,2381.96749572895,2268.44799072895,2121.77895772895,1802.30224490283,1355.43191036985,825.584217620233,421.769688085702,163.012888085702,1.32,0,0,0,0,0,0
AIM-Technology,World,Opt1.5C,Capacity|Electricity|Coal|w/ CCS,GW,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0,0,0,0,0,0,0,0,0,0
AIM-Technology,World,Opt1.5C,Capacity|Electricity|Coal|w/o CCS,GW,2227.25636664325,2336.89542664325,2381.85749572895,2268.33799072895,2121.66895772895,1802.19224490283,1355.32191036985,825.584217620233,421.769688085702,163.012888085702,1.32,0,0,0,0,0,0
AIM-Technology,World,Opt1.5C,Capacity|Electricity|Gas,GW,2054.04649141459,2349.71401894008,2728.34960790914,2687.68246295024,2746.85750777342,2762.51873595772,2678.16103331384,2855.67169046983,3083.04326671273,3091.92886240627,2926.14593499962,3016.71543236211,3036.97526161779,3062.16734171609,3065.00541817578,2805.60487010422,2721.70974995822
AIM-Technology,World,Opt1.5C,Capacity|Electricity|Gas|w/ CCS,GW,0,0,0,1.08256410822584,1.08256410822584,1.08256410822584,1.08256410822584,1.08256410822584,1.08256410822584,1.08256410822584,0,0,0,0,0,0,0
AIM-Technology,World,Opt1.5C,Capacity|Electricity|Gas|w/o CCS,GW,2054.04649141459,2349.71401894008,2728.34960790914,2686.59989884201,2745.7749436652,2761.43617184949,2677.07846920562,2854.5891263616,3081.96070260451,3090.84629829804,2926.14593499962,3016.71543236211,3036.97526161779,3062.16734171609,3065.00541817578,2805.60487010422,2721.70974995822
AIM-Technology,World,Opt1.5C,Capacity|Electricity|Geothermal,GW,12.91747,16.498169999999998,44.5715725505072,47.5118694731013,47.0318694731013,57.4462034191077,60.0388859621931,62.9788899936151,64.3548899936151,66.1992386237521,66.8972386237521,67.8604386237521,69.5456186237521,71.6639186237521,74.0759186237521,81.4619186237521,81.1831585172938
